,Id,Screen_Name,Text,Created at
15,1593190262146469889,torode_julie,"b'RT @DrNonoSimelela: Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimination\xe2\x80\xa6'",2022-11-17 10:32:13+00:00
16,1593186430070800388,CANSA,"b'RT @DrNonoSimelela: Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimination\xe2\x80\xa6'",2022-11-17 10:16:59+00:00
17,1593184290606809088,MalcolmAlkalee,"b'RT @DrNonoSimelela: Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimination\xe2\x80\xa6'",2022-11-17 10:08:29+00:00
18,1593177389093511173,HPV_ETAIREIA,"b'RT @DrNonoSimelela: Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimination\xe2\x80\xa6'",2022-11-17 09:41:04+00:00
19,1593172159597543426,DrNonoSimelela,"b'Today at 11:00 AM Geneva join me, @WHO, @DrTedros, partners, survivors, &amp; advocates for the #CervicalCancer Elimina\xe2\x80\xa6 https://t.co/BPjXfeNgmB'",2022-11-17 09:20:17+00:00
20,1593157009159094272,NDodlek,"b'RT @LGCW2022: As part of #LondonGlobalCancerWeek 2022, C3 are joined by Dr Juana Willumsen from WHO to discuss the benefits of Physical Act\xe2\x80\xa6'",2022-11-17 08:20:05+00:00
21,1593151531565846528,SusannahStanwa1,"b'RT @LGCW2022: As part of #LondonGlobalCancerWeek 2022, C3 are joined by Dr Juana Willumsen from WHO to discuss the benefits of Physical Act\xe2\x80\xa6'",2022-11-17 07:58:19+00:00
22,1593144436019666944,LGCW2022,"b'As part of #LondonGlobalCancerWeek 2022, C3 are joined by Dr Juana Willumsen from WHO to discuss the benefits of Ph\xe2\x80\xa6 https://t.co/GBDsuYpvlh'",2022-11-17 07:30:07+00:00
23,1593058789405884416,i_cardio,"b'November 2022 China Cardio-Oncology Events:\nNov. 19, 2022, 14: 00-16: 00 pm (BJT), The online event ""Compassionate\xe2\x80\xa6 https://t.co/numTsbXXQ4'",2022-11-17 01:49:47+00:00
24,1592976147171930113,NZGrassland,"b'RT @rural_roundup: Elevated #nitrate levels in South Canterbury water is causing concern to locals, today we discuss the issue with Steve A\xe2\x80\xa6'",2022-11-16 20:21:24+00:00
25,1592965538275553282,AlTaylorNZ,"b'RT @rural_roundup: Elevated #nitrate levels in South Canterbury water is causing concern to locals, today we discuss the issue with Steve A\xe2\x80\xa6'",2022-11-16 19:39:14+00:00
26,1592959998266871809,sadiq_kigo,"b""RT @LGCW2022: Don't miss this LIVE event for London Global Cancer Week 2022 at The Royal Society of Medicine! Co-hosted by: Chatham House &amp;\xe2\x80\xa6""",2022-11-16 19:17:14+00:00
27,1592899128681369600,LGCW2022,"b'As part of #LondonGlobalCancerWeek 2022, C3 are joined by Dr Juana Willumsen from WHO to discuss the benefits of Ph\xe2\x80\xa6 https://t.co/tXLJLSbimQ'",2022-11-16 15:15:21+00:00
28,1592844480386076672,DrZSB,"b""RT @LGCW2022: Don't miss this LIVE event for London Global Cancer Week 2022 at The Royal Society of Medicine! Co-hosted by: Chatham House &amp;\xe2\x80\xa6""",2022-11-16 11:38:12+00:00
29,1592831503968440321,LGCW2022,b'Last chance to register for the upcoming Alliance Mondiale Contre Le Cancer (AMCC) workshop today at 11:00 am GMT.\xe2\x80\xa6 https://t.co/9ah7ryELFH',2022-11-16 10:46:38+00:00
